index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
132	NGDP_R	AGO	338.377	323.488	323.488	337.075	357.299	369.805	380.529	396.065	420.339	420.514	406.006	410.031	386.092	293.494	297.425	342.039	388.366	416.617	436.161	445.676	459.289	478.607	544.012	572.559	634.851	750.784	906.46	1,111.26	1,264.80	1,295.32	1,339.46	1,391.95	1,463.71	1,563.44	1,638.55	1,687.83	1,687.83	1,710.20	1,736.34	1,760.49	1,787.06	1,811.22	1,837.04	2015
133	NGDP_RPCH	AGO	2.406	-4.4	0	4.2	6	3.5	2.9	4.083	6.129	0.042	-3.45	0.991	-5.838	-23.983	1.339	15	13.544	7.274	4.691	2.181	3.055	4.206	13.666	5.248	10.879	18.262	20.735	22.593	13.817	2.413	3.408	3.919	5.155	6.814	4.804	3.007	0	1.326	1.528	1.391	1.509	1.352	1.425	2015
134	NGDP	AGO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.001	0.015	0.835	1.752	2.556	17.171	91.666	197.111	544.012	1,058.59	1,640.82	2,460.83	3,358.54	4,636.80	6,316.16	5,988.68	7,579.55	9,780.10	11,011.43	12,056.30	12,462.47	12,321.46	15,675.15	20,298.62	23,789.80	27,359.28	30,746.62	34,116.75	37,286.15	2015
135	NGDPD	AGO	5.934	5.554	5.554	5.788	6.135	7.559	7.077	8.089	8.775	10.208	11.236	10.891	8.398	6.095	4.438	5.539	6.535	7.675	6.506	6.153	9.13	8.936	12.497	14.189	19.641	28.234	41.789	60.449	84.178	75.492	82.471	104.116	115.342	124.912	126.777	102.962	95.821	122.365	134.305	138.18	142.733	147.525	150.23	2015
136	NGDP_D	AGO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.004	0.215	0.42	0.586	3.853	19.958	41.184	100	184.886	258.458	327.767	370.512	417.257	499.38	462.332	565.866	702.62	752.297	771.14	760.577	730.02	928.719	1,186.92	1,370.12	1,554.07	1,720.52	1,883.63	2,029.69	2015
137	NGDPRPC	AGO	38,141.29	35,503.52	34,588.48	35,121.71	36,270.12	33,313.69	33,327.57	33,823.86	34,950.24	34,031.44	32,003.03	31,378.93	28,686.35	21,171.24	20,829.91	23,256.69	25,637.54	26,701.44	27,139.85	26,924.18	26,938.45	27,253.87	30,076.02	30,732.31	33,083.32	37,985.29	44,525.77	52,995.65	58,561.28	58,227.49	58,457.93	58,979.27	60,213.53	62,442.94	63,536.88	63,541.17	61,690.46	60,687.66	59,820.44	58,886.08	58,033.73	57,105.20	56,232.23	2015
138	NGDPPC	AGO	--	--	--	--	--	--	--	--	--	--	--	--	--	0.002	0.047	1.021	55.154	112.274	159.033	1,037.34	5,376.44	11,224.30	30,076.02	56,819.88	85,506.56	124,503.30	164,973.26	221,128.21	292,443.42	269,204.29	330,793.71	414,400.20	452,984.35	481,522.26	483,247.08	463,863.36	572,930.87	720,310.84	819,609.38	915,131.64	998,479.38	1,075,652.97	1,141,339.41	2015
139	NGDPDPC	AGO	668.88	609.544	593.834	603.066	622.792	680.914	619.801	690.823	729.631	826.108	885.688	833.503	623.942	439.645	310.813	376.603	431.429	491.926	404.856	371.711	535.473	508.857	690.923	761.596	1,023.52	1,428.46	2,052.72	2,882.80	3,897.51	3,393.55	3,599.27	4,411.58	4,744.88	4,988.92	4,915.92	3,876.20	3,502.27	4,342.21	4,627.10	4,621.93	4,635.17	4,651.26	4,598.57	2015
140	NGAP_NPGDP	AGO																																												
141	PPPGDP	AGO	14.949	15.626	16.595	17.975	19.729	21.073	22.122	23.613	25.937	26.957	26.989	28.164	27.125	21.11	21.848	25.649	29.654	32.356	34.242	35.524	37.442	39.906	46.056	49.439	56.326	68.755	85.562	107.684	124.967	128.954	134.977	143.162	153.316	166.407	177.524	184.83	187.261	193.935	201.306	208.583	216.001	223.356	231.254	2015
